DEAL_NO,CLIENT_NO,APPLICATION_ID,ORIGINATION_DATE,LOAN_SEGMENT,LOAN_PRODUCT,APPROVED_AMOUNT_GEL,CLOSURE_REASON,CLOSURE_DATE
500001,906273,100000001,2020-01-31,CB,Working Capital,148191.68,Matured,2021-01-31
500002,908122,100000002,2020-01-31,SMM,Trade Finance,31989.54,Matured,2020-08-31
500003,902525,100000003,2020-01-31,SML,Corporate Term Loan,4662.47,Matured,2023-06-30
500004,904557,100000004,2020-01-31,SMM,Developer,23649.99,Matured,2023-12-31
500005,906338,100000005,2020-01-31,RB,Mortgage,1054.87,,
500006,903488,100000006,2020-01-31,SMM,Corporate Term Loan,40682.85,Matured,2024-07-31
500007,908007,100000007,2020-01-31,SMM,Agro,5610.22,Matured,2021-03-31
500008,908847,100000008,2020-01-31,SML,Trade Finance,2538.9,Matured,2020-08-31
500009,900162,100000009,2020-01-31,RB,Mortgage,555.46,Paid Off Early,2023-12-31
500010,905574,100000010,2020-01-31,SML,Trade Finance,3255.83,Paid Off Early,2021-02-28
500011,906350,100000011,2020-01-31,RB,Consumer,504.29,Matured,2021-03-31
500012,908828,100000012,2020-01-31,SML,Corporate Term Loan,3573.8,Paid Off Early,2020-10-31
500013,901401,100000013,2020-01-31,RB,Digital,1408.36,Matured,2022-01-31
500014,906007,100000014,2020-01-31,SML,Working Capital,3267.13,Refinanced,2021-10-31
500015,907315,100000015,2020-01-31,SMM,Developer,31841.56,Matured,2023-09-30
500016,907132,100000016,2020-01-31,SML,Working Capital,2751.48,Paid Off Early,2020-02-29
500017,908341,100000017,2020-01-31,RB,Auto Loan,574.43,Matured,2025-11-30
500018,902653,100000018,2020-01-31,SMM,Trade Finance,29858.38,Matured,2020-09-30
500019,903002,100000019,2020-01-31,SMM,Agro,11638.98,Paid Off Early,2020-08-31
500020,908113,100000020,2020-01-31,SML,Trade Finance,3708.91,Matured,2021-01-31
500021,901085,100000021,2020-01-31,CB,Developer,153122.29,Matured,2023-08-31
500022,903282,100000022,2020-01-31,SML,Developer,2279.48,Matured,2024-02-29
500023,902064,100000023,2020-01-31,SMM,Corporate Term Loan,18994.2,Matured,2024-02-29
500024,902420,100000024,2020-01-31,RB,Auto Loan,267.87,Paid Off Early,2024-03-31
500025,906957,100000025,2020-01-31,SMM,Working Capital,34039.87,Matured,2021-02-28
500026,905784,100000026,2020-01-31,CB,Working Capital,145265.69,Matured,2021-07-31
500027,906458,100000027,2020-01-31,SML,Corporate Term Loan,3002.88,Paid Off Early,2020-04-30
500028,900942,100000028,2020-01-31,RB,Mortgage,1359.81,Paid Off Early,2020-10-31
500029,908414,100000029,2020-01-31,CB,Corporate Term Loan,87546.6,Paid Off Early,2022-06-30
500030,900497,100000030,2020-01-31,SMM,Corporate Term Loan,9268.48,Paid Off Early,2020-11-30
