CCY,HIST_DATE,RATE_TO_GEL
GEL,2024-01-31,1.0
USD,2024-01-31,2.6608
EUR,2024-01-31,2.8231
GEL,2024-02-29,1.0
USD,2024-02-29,2.6503
EUR,2024-02-29,2.8087
GEL,2024-03-31,1.0
USD,2024-03-31,2.6667
EUR,2024-03-31,2.8224
GEL,2024-04-30,1.0
USD,2024-04-30,2.6924
EUR,2024-04-30,2.7996
GEL,2024-05-31,1.0
USD,2024-05-31,2.6905
EUR,2024-05-31,2.7734
GEL,2024-06-30,1.0
USD,2024-06-30,2.6765
EUR,2024-06-30,2.7765
GEL,2024-07-31,1.0
USD,2024-07-31,2.6513
EUR,2024-07-31,2.7609
GEL,2024-08-31,1.0
USD,2024-08-31,2.6627
EUR,2024-08-31,2.7664
GEL,2024-09-30,1.0
USD,2024-09-30,2.649
EUR,2024-09-30,2.7746
GEL,2024-10-31,1.0
USD,2024-10-31,2.6696
EUR,2024-10-31,2.7473
GEL,2024-11-30,1.0
USD,2024-11-30,2.6903
EUR,2024-11-30,2.762
GEL,2024-12-31,1.0
USD,2024-12-31,2.6835
EUR,2024-12-31,2.7438
GEL,2025-01-31,1.0
USD,2025-01-31,2.7132
EUR,2025-01-31,2.7367
GEL,2025-02-28,1.0
USD,2025-02-28,2.6916
EUR,2025-02-28,2.7151
GEL,2025-03-31,1.0
USD,2025-03-31,2.7149
EUR,2025-03-31,2.7241
GEL,2025-04-30,1.0
USD,2025-04-30,2.7359
EUR,2025-04-30,2.7406
GEL,2025-05-31,1.0
USD,2025-05-31,2.7408
EUR,2025-05-31,2.7718
GEL,2025-06-30,1.0
USD,2025-06-30,2.7363
EUR,2025-06-30,2.7778
GEL,2025-07-31,1.0
USD,2025-07-31,2.7588
EUR,2025-07-31,2.7878
GEL,2025-08-31,1.0
USD,2025-08-31,2.7835
EUR,2025-08-31,2.7953
GEL,2025-09-30,1.0
USD,2025-09-30,2.7988
EUR,2025-09-30,2.7702
GEL,2025-10-31,1.0
USD,2025-10-31,2.7849
EUR,2025-10-31,2.7601
GEL,2025-11-30,1.0
USD,2025-11-30,2.7619
EUR,2025-11-30,2.7466
GEL,2025-12-31,1.0
USD,2025-12-31,2.7404
EUR,2025-12-31,2.736
GEL,2026-01-31,1.0
USD,2026-01-31,2.7514
EUR,2026-01-31,2.7306
GEL,2026-02-28,1.0
USD,2026-02-28,2.7463
EUR,2026-02-28,2.7159
GEL,2026-03-31,1.0
USD,2026-03-31,2.7349
EUR,2026-03-31,2.7447
GEL,2026-04-30,1.0
USD,2026-04-30,2.7466
EUR,2026-04-30,2.754
GEL,2026-05-31,1.0
USD,2026-05-31,2.7294
EUR,2026-05-31,2.7706
GEL,2026-06-30,1.0
USD,2026-06-30,2.712
EUR,2026-06-30,2.7661
GEL,2026-07-31,1.0
USD,2026-07-31,2.7439
EUR,2026-07-31,2.7773
