CLIENT_NO,HIST_DATE,TRANSFER_IN,TRANSFER_OUT
900024,2024-01-31,4019.37,3701.52
900030,2024-01-31,113.19,323.24
900056,2024-01-31,3279.43,1957.56
900091,2024-01-31,2621.31,8822.75
900098,2024-01-31,1799.9,5610.52
900103,2024-01-31,1089.27,648.05
900137,2024-01-31,569.82,2627.89
900157,2024-01-31,376.2,1522.05
900159,2024-01-31,2940.21,1175.67
900214,2024-01-31,2822.4,2633.45
900263,2024-01-31,1266.47,472.08
900270,2024-01-31,2659.42,4330.67
900280,2024-01-31,1661.73,2629.27
900302,2024-01-31,928.93,2543.71
900306,2024-01-31,655.91,1619.47
900358,2024-01-31,229.19,741.68
900401,2024-01-31,1401.93,382.4
900411,2024-01-31,148.46,678.06
900414,2024-01-31,1431.24,4018.95
900417,2024-01-31,2560.54,4807.5
900433,2024-01-31,2327.87,2983.63
900444,2024-01-31,343.62,1030.33
900446,2024-01-31,676.48,3415.37
900448,2024-01-31,3082.58,2933.24
900477,2024-01-31,4190.92,2271.8
900518,2024-01-31,628.77,535.07
900542,2024-01-31,273.91,306.82
900616,2024-01-31,317.17,312.0
900625,2024-01-31,2525.2,5045.37
900634,2024-01-31,5047.12,2914.56
900668,2024-01-31,2203.42,1020.92
900710,2024-01-31,181.05,797.11
900715,2024-01-31,4288.52,2245.48
900739,2024-01-31,1810.25,1196.42
900757,2024-01-31,892.69,461.72
900774,2024-01-31,2806.14,4513.37
900778,2024-01-31,2484.64,870.04
900786,2024-01-31,1152.37,4527.83
900808,2024-01-31,2561.31,1752.79
900814,2024-01-31,1541.66,828.8
900828,2024-01-31,2365.29,5566.27
900901,2024-01-31,1972.94,846.84
900932,2024-01-31,1964.31,7724.75
900953,2024-01-31,3218.86,1830.36
900958,2024-01-31,519.14,1609.96
900961,2024-01-31,1414.03,2071.03
900966,2024-01-31,3034.59,7990.11
900985,2024-01-31,88.23,695.37
900993,2024-01-31,872.59,5307.6
901000,2024-01-31,4670.18,4497.73
901002,2024-01-31,131.28,377.43
901006,2024-01-31,2831.65,5051.34
901022,2024-01-31,2765.02,5004.32
901023,2024-01-31,2407.75,8031.97
901042,2024-01-31,1050.05,2762.22
901044,2024-01-31,885.09,2253.22
901070,2024-01-31,1573.13,8008.0
901084,2024-01-31,364.01,1389.36
901107,2024-01-31,1118.15,949.25
901117,2024-01-31,1008.56,4269.17
901119,2024-01-31,3089.85,3420.56
901156,2024-01-31,1550.88,643.17
901169,2024-01-31,691.07,336.59
901228,2024-01-31,478.12,1323.97
901244,2024-01-31,838.13,3469.81
901245,2024-01-31,1535.99,1413.76
901251,2024-01-31,936.29,789.95
901280,2024-01-31,895.14,494.77
901293,2024-01-31,1130.13,3526.85
901294,2024-01-31,1467.57,1851.88
901312,2024-01-31,5023.14,3169.6
901342,2024-01-31,397.03,867.95
901353,2024-01-31,4372.81,2166.57
901354,2024-01-31,2082.7,7026.9
901361,2024-01-31,1283.11,4464.66
901372,2024-01-31,905.9,582.53
901383,2024-01-31,5743.33,1922.3
901429,2024-01-31,1607.28,581.38
901431,2024-01-31,612.58,1518.34
901445,2024-01-31,1099.98,5693.69
901474,2024-01-31,2633.94,5808.32
901490,2024-01-31,1231.69,6829.29
901504,2024-01-31,298.48,381.99
901537,2024-01-31,1501.62,6036.32
901558,2024-01-31,1980.12,5897.27
901621,2024-01-31,5935.0,1665.33
901623,2024-01-31,2824.72,2736.59
901681,2024-01-31,819.78,4689.25
901728,2024-01-31,1456.16,5028.06
901732,2024-01-31,582.87,2173.8
901783,2024-01-31,1742.94,4613.97
901785,2024-01-31,2768.87,3904.4
901786,2024-01-31,3238.29,7678.93
901807,2024-01-31,565.06,689.45
901808,2024-01-31,4477.52,1705.0
901816,2024-01-31,515.49,375.09
901837,2024-01-31,2988.82,802.62
901840,2024-01-31,500.2,256.63
901860,2024-01-31,1179.26,2110.79
901903,2024-01-31,675.87,476.14
901913,2024-01-31,1202.35,3978.0
901960,2024-01-31,1336.67,4326.59
901966,2024-01-31,1227.14,2878.2
901977,2024-01-31,190.44,732.14
902000,2024-01-31,2967.98,3081.59
902072,2024-01-31,5368.36,2942.69
902106,2024-01-31,2957.23,1827.43
902113,2024-01-31,2410.45,2010.39
902180,2024-01-31,1573.78,3839.92
902193,2024-01-31,3255.77,1242.61
902218,2024-01-31,1668.21,5444.37
902265,2024-01-31,1255.6,6570.34
902281,2024-01-31,1060.1,4008.74
902289,2024-01-31,4591.58,3684.78
902290,2024-01-31,131.44,649.55
902301,2024-01-31,872.9,494.89
902362,2024-01-31,1658.55,4954.23
902364,2024-01-31,216.39,795.47
902389,2024-01-31,1020.63,4637.14
902395,2024-01-31,1751.36,4851.0
902402,2024-01-31,4875.86,2274.98
902425,2024-01-31,879.08,4003.13
902428,2024-01-31,4258.36,2345.87
902431,2024-01-31,3160.95,907.91
902446,2024-01-31,1027.46,334.06
902471,2024-01-31,3236.29,1022.85
902482,2024-01-31,4482.86,2992.09
902493,2024-01-31,1109.73,6736.38
902511,2024-01-31,1199.63,5728.63
902520,2024-01-31,609.41,295.7
902526,2024-01-31,3864.62,3439.08
902532,2024-01-31,1901.65,4237.51
902555,2024-01-31,212.88,301.96
902569,2024-01-31,676.97,2775.14
902643,2024-01-31,1967.85,7047.14
902650,2024-01-31,185.93,563.32
902654,2024-01-31,4145.19,1901.41
902664,2024-01-31,328.99,1734.32
902673,2024-01-31,3849.95,3583.27
902704,2024-01-31,912.84,6553.01
902712,2024-01-31,595.38,1929.02
902729,2024-01-31,2699.99,882.33
902751,2024-01-31,2275.54,2335.67
902774,2024-01-31,788.73,2067.96
902776,2024-01-31,560.92,682.79
902791,2024-01-31,568.24,403.89
902805,2024-01-31,1344.21,3298.2
902858,2024-01-31,6431.8,2597.18
902886,2024-01-31,736.92,334.62
902913,2024-01-31,906.05,4452.19
902922,2024-01-31,301.25,1225.53
902958,2024-01-31,750.68,1313.12
902969,2024-01-31,1383.32,6616.77
902975,2024-01-31,2062.01,868.24
902981,2024-01-31,721.66,1800.29
903020,2024-01-31,1154.62,1005.32
903084,2024-01-31,1921.29,1258.09
903103,2024-01-31,1892.12,2646.67
903104,2024-01-31,407.34,1015.77
903115,2024-01-31,4916.66,1741.41
903122,2024-01-31,3123.04,6931.73
903154,2024-01-31,1625.69,990.5
903229,2024-01-31,3896.43,2653.23
903230,2024-01-31,3041.64,8291.67
903232,2024-01-31,3951.56,1141.18
903240,2024-01-31,1110.83,2854.45
903256,2024-01-31,1960.57,1307.36
903261,2024-01-31,2548.76,641.11
903266,2024-01-31,1449.33,5534.27
903275,2024-01-31,1455.2,1062.33
903374,2024-01-31,3159.04,1329.16
903386,2024-01-31,2768.47,2988.42
903420,2024-01-31,290.36,117.96
903439,2024-01-31,1625.92,890.51
903461,2024-01-31,1606.43,3418.67
903463,2024-01-31,1083.85,1044.18
903561,2024-01-31,2131.12,870.3
903566,2024-01-31,1871.09,4883.65
903579,2024-01-31,1046.03,5268.67
903590,2024-01-31,532.13,1050.94
903598,2024-01-31,366.47,569.27
903643,2024-01-31,1039.79,3362.95
903648,2024-01-31,1369.03,3664.07
903713,2024-01-31,226.21,350.68
903720,2024-01-31,3093.12,3452.11
903764,2024-01-31,1825.42,5067.19
903785,2024-01-31,215.04,325.63
903794,2024-01-31,391.17,2285.86
903796,2024-01-31,895.11,2925.36
903810,2024-01-31,2638.39,5631.25
903815,2024-01-31,1359.24,1310.79
903816,2024-01-31,2168.32,6194.78
903847,2024-01-31,681.86,730.01
903868,2024-01-31,2737.96,2475.78
903872,2024-01-31,1795.58,5348.6
903906,2024-01-31,375.78,635.05
903912,2024-01-31,693.68,3052.68
903994,2024-01-31,1742.36,3808.43
904006,2024-01-31,345.88,1302.78
904007,2024-01-31,838.32,4443.26
904013,2024-01-31,892.85,7022.9
904015,2024-01-31,2117.96,6051.26
904022,2024-01-31,3576.87,2785.64
904084,2024-01-31,6453.46,2835.66
904140,2024-01-31,2486.69,2547.08
904158,2024-01-31,546.29,1567.5
904176,2024-01-31,1939.24,6257.81
904189,2024-01-31,4073.77,4298.69
904193,2024-01-31,3852.44,2818.71
904217,2024-01-31,3919.8,1963.68
904237,2024-01-31,743.75,3975.92
904254,2024-01-31,1707.25,4810.67
904291,2024-01-31,1348.43,350.44
904297,2024-01-31,1406.41,7560.93
904306,2024-01-31,2250.68,2898.67
904327,2024-01-31,2633.66,2894.61
904335,2024-01-31,1264.81,4492.43
904357,2024-01-31,152.76,723.9
904364,2024-01-31,3627.63,1750.47
904386,2024-01-31,1925.54,4475.64
904392,2024-01-31,3144.99,8291.09
904394,2024-01-31,1355.06,6651.8
904397,2024-01-31,634.01,1851.53
904436,2024-01-31,4634.65,1320.1
904446,2024-01-31,5680.11,2065.23
904450,2024-01-31,584.82,2367.88
