DEAL_NO,PURPOSE,AMOUNT
500001,Working Capital,92519.82
500002,Business Expansion,31362.11
500003,Business Expansion,4653.15
500004,Business Expansion,10973.03
500004,Construction,10973.04
500005,Home Purchase,1050.53
500006,Business Expansion,37803.38
500007,Working Capital,5468.05
500008,Business Expansion,1776.96
500009,Real Estate Purchase,512.24
500010,Working Capital,2662.37
500011,Debt Consolidation,158.72
500011,Working Capital,158.72
500011,Personal Consumption,158.72
500012,Equipment Purchase,3323.43
500013,Business Expansion,1350.13
500014,Working Capital,3085.42
500015,Construction,30326.57
500016,Debt Consolidation,1041.05
500016,Working Capital,1041.04
500017,Vehicle Purchase,536.73
500018,Working Capital,18024.11
500019,Equipment Purchase,11565.34
500020,Working Capital,3693.78
500021,Business Expansion,141269.65
500022,Construction,2102.36
500023,Business Expansion,9028.38
500023,Working Capital,9028.37
500024,Vehicle Purchase,249.24
500025,Working Capital,21091.76
500026,Debt Consolidation,82383.27
500027,Equipment Purchase,2780.96
500028,Real Estate Purchase,1305.92
500029,Business Expansion,83186.61
500030,Working Capital,4380.24
500030,Equipment Purchase,4380.25
500031,Business Expansion,3141.64
500032,Equipment Purchase,136820.34
500033,Real Estate Purchase,947.01
500034,Vehicle Purchase,1240.48
500035,Vehicle Purchase,543.54
500036,Business Expansion,3605.72
500037,Business Expansion,2328.64
500038,Working Capital,1942.17
500039,Working Capital,4126.9
500039,Working Capital,4126.89
500040,Debt Consolidation,20946.36
500041,Working Capital,2257.01
500042,Working Capital,2331.31
500042,Construction,2331.31
500042,Business Expansion,2331.3
500043,Debt Consolidation,80435.24
500044,Business Expansion,1957.5
500045,Working Capital,773.74
500045,Business Expansion,773.74
500045,Construction,773.73
500046,Construction,26451.33
500047,Business Expansion,2432.02
500048,Working Capital,1966.93
500048,Working Capital,1966.94
500049,Business Expansion,3715.75
500050,Business Expansion,5832.02
500051,Business Expansion,3438.98
500052,Business Expansion,77863.88
500053,Debt Consolidation,3921.74
500054,Debt Consolidation,3118.33
500055,Debt Consolidation,3549.72
500056,Construction,22488.43
500057,Business Expansion,2045.24
500058,Equipment Purchase,3668.35
500059,Business Expansion,147646.02
500060,Business Expansion,2147.05
500061,Personal Consumption,1626.51
500062,Working Capital,27294.94
500063,Business Expansion,70576.97
500064,Working Capital,305.42
500064,Personal Consumption,305.42
500064,Debt Consolidation,305.43
500065,Business Expansion,22993.7
500066,Business Expansion,108306.91
500067,Home Purchase,135.74
500067,Real Estate Purchase,135.74
500068,Working Capital,1576.46
500069,Working Capital,31921.49
500070,Working Capital,7582.24
500070,Equipment Purchase,7582.24
500070,Business Expansion,7582.25
500071,Debt Consolidation,76921.56
500072,Working Capital,5828.41
500072,Business Expansion,5828.42
500073,Debt Consolidation,1637.4
500074,Working Capital,25479.04
500075,Debt Consolidation,3246.47
500076,Vehicle Purchase,584.76
500077,Working Capital,114264.49
500078,Debt Consolidation,3692.9
500079,Vehicle Purchase,89.62
500080,Personal Consumption,630.94
500081,Working Capital,23268.73
