REFINANCE_DATE,DEAL_NO,REFINANCED_DEAL_NO,REFINANCE_AMOUNT
2020-02-29,500301,500037,2328.64
2020-02-29,500302,500081,23268.73
2020-02-29,500303,500121,191773.54
2020-02-29,500304,500173,1614.65
2020-02-29,500305,500190,82822.87
2020-02-29,500306,500262,2985.76
2020-03-31,500607,500103,65115.53
2020-03-31,500608,500231,1478.53
2020-03-31,500609,500271,22530.16
2020-03-31,500610,500578,27511.82
2020-04-30,500918,500742,4195.94
2020-04-30,500917,500614,4025.85
2020-04-30,500916,500496,20246.2
2020-04-30,500915,500410,4434.79
2020-04-30,500912,500227,1454.63
2020-04-30,500913,500235,17738.16
2020-04-30,500911,500201,43382.17
2020-04-30,500914,500283,30993.0
2020-05-31,501227,500870,3337.99
2020-05-31,501232,501175,2227.36
2020-05-31,501231,501122,3268.95
2020-05-31,501230,500997,38889.76
2020-05-31,501228,500902,27233.14
2020-05-31,501226,500740,38770.67
2020-05-31,501229,500943,11238.66
2020-05-31,501224,500675,14798.07
2020-05-31,501219,500249,89657.11
2020-05-31,501220,500474,178298.89
2020-05-31,501221,500501,9765.78
2020-05-31,501225,500700,20719.69
2020-05-31,501222,500525,4116.98
2020-05-31,501223,500545,4062.58
2020-06-30,501551,501191,4206.86
2020-06-30,501543,500708,3826.33
2020-06-30,501549,501116,5871.46
2020-06-30,501548,501047,14474.0
2020-06-30,501547,500956,27868.32
2020-06-30,501546,500851,170822.19
2020-06-30,501545,500805,158415.26
2020-06-30,501544,500753,3725.62
2020-06-30,501552,501304,181275.62
2020-06-30,501550,501157,12271.09
2020-06-30,501542,500688,66513.7
2020-06-30,501540,500631,111492.81
2020-06-30,501539,500591,171683.23
2020-06-30,501538,500554,2683.1
2020-06-30,501537,500481,12301.82
2020-06-30,501536,500400,26348.49
2020-06-30,501535,500372,21246.47
2020-06-30,501534,500307,18537.01
2020-06-30,501533,500125,2690.49
2020-06-30,501541,500665,44374.47
2020-07-31,501860,500510,124874.46
2020-07-31,501865,501634,2381.93
2020-07-31,501864,501177,35320.51
2020-07-31,501862,500596,3318.07
2020-07-31,501861,500521,2055.52
2020-07-31,501859,500487,3795.3
2020-07-31,501863,501026,2315.57
2020-07-31,501857,500232,2966.31
2020-07-31,501856,500220,8705.84
2020-07-31,501855,500129,55983.45
2020-07-31,501858,500380,79126.87
2020-07-31,501854,500052,61083.71
2020-07-31,501853,500046,26451.33
2020-08-31,502182,501582,2584.35
2020-08-31,502183,501624,62943.77
2020-08-31,502184,501651,16205.27
2020-08-31,502185,501722,2992.39
2020-08-31,502186,501757,13855.12
2020-08-31,502189,501947,75812.06
2020-08-31,502188,501895,3299.38
2020-08-31,502181,501540,60501.82
2020-08-31,502190,501999,2539.71
2020-08-31,502191,502016,3822.08
2020-08-31,502192,502074,26994.6
2020-08-31,502187,501778,39436.19
2020-08-31,502180,501430,22087.18
2020-08-31,502193,502155,175879.34
2020-08-31,502178,501388,1214.78
2020-08-31,502179,501400,135008.49
2020-08-31,502167,500364,3924.85
2020-08-31,502168,500367,62097.61
2020-08-31,502169,500460,3504.3
2020-08-31,502170,500622,2284.54
2020-08-31,502171,500871,10065.05
2020-08-31,502166,500167,9179.0
2020-08-31,502173,501039,167909.18
2020-08-31,502174,501207,2727.13
2020-08-31,502175,501277,2667.48
2020-08-31,502176,501331,30367.37
2020-08-31,502177,501361,2515.96
2020-08-31,502172,500916,19295.26
2020-09-30,502509,501696,2852.08
2020-09-30,502510,501721,2564.52
2020-09-30,502511,501731,30374.43
2020-09-30,502512,501741,41658.56
2020-09-30,502515,501980,2816.22
2020-09-30,502514,501914,3066.2
2020-09-30,502516,502189,124206.4
2020-09-30,502517,502381,2932.02
2020-09-30,502518,502474,31071.96
2020-09-30,502508,501563,3964.08
2020-09-30,502513,501801,2017.35
2020-09-30,502507,501551,2922.09
2020-09-30,502503,501221,19970.59
2020-09-30,502505,501401,35792.74
2020-09-30,502494,500208,31310.35
2020-09-30,502506,501455,2210.28
2020-09-30,502496,500427,2014.52
2020-09-30,502497,500625,23072.52
2020-09-30,502498,500826,31086.97
2020-09-30,502495,500376,33976.5
2020-09-30,502500,501088,2575.51
2020-09-30,502501,501091,1824.36
2020-09-30,502502,501217,74041.1
2020-09-30,502504,501389,3793.57
2020-09-30,502499,500949,13948.67
2020-10-31,502829,502121,6427.96
2020-10-31,502836,502771,11309.84
2020-10-31,502835,502759,32754.2
2020-10-31,502834,502506,3556.19
2020-10-31,502833,502456,38733.81
2020-10-31,502832,502322,4226.18
2020-10-31,502830,502184,10295.83
2020-10-31,502828,502093,30399.74
2020-10-31,502831,502237,2521.55
2020-10-31,502826,501718,4332.95
2020-10-31,502820,500326,4104.69
2020-10-31,502821,500852,1787.02
2020-10-31,502822,501271,32734.75
2020-10-31,502819,500313,17491.74
2020-10-31,502827,501743,2640.04
2020-10-31,502824,501557,2454.96
2020-10-31,502825,501589,24947.78
2020-10-31,502823,501313,9586.75
2020-11-30,503148,501852,2761.48
2020-11-30,503154,502760,3957.51
2020-11-30,503153,502519,3543.36
2020-11-30,503152,502426,166587.07
2020-11-30,503151,502418,51824.75
2020-11-30,503150,502268,4421.63
2020-11-30,503149,501897,77695.48
2020-11-30,503146,500975,3256.29
2020-11-30,503147,501486,2654.75
2020-11-30,503144,500821,3629.99
2020-11-30,503143,500657,1964.05
2020-11-30,503142,500607,40258.19
2020-11-30,503141,500448,2662.45
2020-11-30,503140,500394,1832.32
2020-11-30,503139,500343,21501.81
2020-11-30,503138,500160,36650.56
2020-11-30,503137,500038,1612.69
2020-11-30,503145,500874,24001.08
2020-12-31,503470,502502,66352.59
2020-12-31,503471,502628,1953.11
2020-12-31,503472,502688,45976.92
2020-12-31,503473,502812,110803.08
2020-12-31,503474,502936,96281.63
2020-12-31,503478,503308,3046.42
2020-12-31,503475,503186,3358.98
2020-12-31,503476,503199,9545.84
2020-12-31,503477,503290,1623.69
2020-12-31,503479,503317,23930.82
2020-12-31,503469,502370,1495.12
2020-12-31,503480,503454,67105.95
2020-12-31,503468,501928,22437.66
2020-12-31,503460,501110,32199.64
2020-12-31,503466,501689,20145.1
2020-12-31,503467,501910,2642.57
2020-12-31,503455,500032,136820.34
2020-12-31,503456,500049,2246.72
2020-12-31,503458,500485,63630.21
2020-12-31,503459,500634,2428.53
2020-12-31,503457,500303,52054.07
2020-12-31,503462,501251,3261.25
2020-12-31,503463,501302,11109.29
2020-12-31,503464,501336,1733.72
2020-12-31,503465,501660,2464.88
2020-12-31,503461,501118,2830.91
2021-01-31,503799,502748,23384.76
2021-01-31,503796,502522,110958.97
2021-01-31,503797,502559,1259.87
2021-01-31,503798,502611,25303.81
2021-01-31,503800,502868,2219.17
2021-01-31,503806,503751,4512.92
2021-01-31,503802,503302,2326.24
2021-01-31,503803,503375,2242.81
2021-01-31,503804,503433,9040.96
2021-01-31,503805,503574,4206.57
2021-01-31,503801,502910,1307.83
2021-01-31,503794,502380,2569.1
2021-01-31,503795,502451,45767.73
2021-01-31,503792,502279,2090.27
2021-01-31,503793,502356,12975.42
2021-01-31,503782,500751,12179.35
2021-01-31,503783,501049,1676.09
2021-01-31,503784,501087,1521.64
2021-01-31,503785,501097,7985.68
2021-01-31,503781,500734,1633.3
2021-01-31,503787,501781,10380.57
2021-01-31,503788,501985,10215.51
2021-01-31,503789,502100,3040.81
2021-01-31,503790,502219,135124.52
2021-01-31,503791,502260,11423.7
2021-01-31,503786,501549,19301.8
2021-02-28,504119,503260,104267.05
2021-02-28,504127,504041,75581.25
2021-02-28,504126,503999,21188.25
2021-02-28,504125,503804,34033.19
2021-02-28,504124,503674,2215.8
2021-02-28,504123,503631,17158.89
2021-02-28,504122,503459,2174.31
2021-02-28,504121,503351,174041.52
2021-02-28,504120,503343,85180.96
2021-02-28,504118,502827,3245.38
2021-02-28,504115,502080,6046.3
2021-02-28,504116,502196,114229.36
2021-02-28,504117,502571,4592.92
2021-02-28,504108,500491,25258.89
2021-02-28,504109,500563,17150.27
2021-02-28,504110,500641,4137.87
2021-02-28,504107,500332,9068.44
2021-02-28,504112,501233,6947.88
2021-02-28,504113,501431,38695.91
2021-02-28,504114,501789,32712.29
2021-02-28,504111,501106,3792.36
2021-03-31,504440,502864,31975.64
2021-03-31,504448,504404,1486.16
2021-03-31,504447,504216,153321.67
2021-03-31,504446,503978,152845.04
2021-03-31,504445,503864,1495.94
2021-03-31,504444,503757,2394.83
2021-03-31,504443,503380,1989.06
2021-03-31,504442,503258,93465.76
2021-03-31,504441,503111,3822.45
2021-03-31,504439,502738,16420.76
2021-03-31,504428,500513,3736.35
2021-03-31,504437,502161,38508.24
2021-03-31,504436,502040,13005.1
2021-03-31,504435,501992,1594.77
2021-03-31,504434,501550,16124.59
2021-03-31,504433,501481,20722.23
2021-03-31,504432,501474,135973.84
2021-03-31,504431,501472,143717.04
2021-03-31,504430,500963,13801.56
2021-03-31,504429,500908,4271.35
2021-03-31,504438,502568,29442.66
2021-04-30,504765,502459,16331.86
