HIST_DATE,DEAL_NO,REST_TYPE
2020-02-29,500066,LVL2
2020-02-29,500143,LVL3
2020-02-29,500244,LVL1
2020-03-31,500169,LVL1
2020-03-31,500238,LVL1
2020-03-31,500421,LVL3
2020-03-31,500519,LVL1
2020-04-30,500035,LVL1
2020-04-30,500036,LVL1
2020-04-30,500058,LVL3
2020-04-30,500196,LVL1
2020-04-30,500235,LVL1
2020-04-30,500259,LVL1
2020-04-30,500268,LVL1
2020-04-30,500292,LVL1
2020-04-30,500309,LVL1
2020-04-30,500353,LVL1
2020-04-30,500379,LVL1
2020-04-30,500387,LVL2
2020-04-30,500403,LVL1
2020-04-30,500424,LVL2
2020-04-30,500436,LVL2
2020-04-30,500446,LVL1
2020-04-30,500574,LVL1
2020-04-30,500758,LVL1
2020-04-30,500762,LVL1
2020-04-30,500815,LVL1
2020-04-30,500898,LVL1
2020-04-30,500903,LVL1
2020-05-31,500104,LVL1
2020-05-31,500116,LVL1
2020-05-31,500134,LVL3
2020-05-31,500229,LVL2
2020-05-31,500242,LVL1
2020-05-31,500247,LVL1
2020-05-31,500304,LVL1
2020-05-31,500316,LVL1
2020-05-31,500320,LVL1
2020-05-31,500357,LVL3
2020-05-31,500484,LVL1
2020-05-31,500675,LVL1
2020-05-31,500802,LVL1
2020-05-31,500860,LVL1
2020-05-31,500891,LVL1
2020-05-31,500935,LVL1
2020-05-31,500974,LVL3
2020-05-31,500994,LVL2
2020-05-31,501066,LVL1
2020-05-31,501151,LVL1
2020-06-30,500036,LVL1
2020-06-30,500150,LVL1
2020-06-30,500175,LVL3
2020-06-30,500183,LVL3
2020-06-30,500214,LVL3
2020-06-30,500252,LVL3
2020-06-30,500286,LVL1
2020-06-30,500296,LVL1
2020-06-30,500437,LVL1
2020-06-30,500493,LVL3
2020-06-30,500589,LVL1
2020-06-30,500631,LVL1
2020-06-30,500746,LVL1
2020-06-30,500794,LVL1
2020-06-30,500947,LVL1
2020-06-30,501007,LVL3
2020-06-30,501029,LVL1
2020-06-30,501075,LVL2
2020-06-30,501190,LVL2
2020-06-30,501203,LVL1
2020-06-30,501217,LVL1
2020-06-30,501333,LVL1
2020-06-30,501359,LVL1
2020-07-31,500215,LVL1
2020-07-31,500232,LVL1
2020-07-31,500325,LVL1
2020-07-31,500415,LVL1
2020-07-31,500418,LVL1
2020-07-31,500421,LVL1
2020-07-31,500426,LVL1
2020-07-31,500434,LVL1
2020-07-31,500477,LVL1
2020-07-31,500500,LVL1
2020-07-31,500531,LVL1
2020-07-31,500534,LVL1
2020-07-31,500654,LVL1
2020-07-31,500672,LVL1
2020-07-31,500791,LVL1
2020-07-31,500931,LVL1
2020-07-31,500986,LVL2
2020-07-31,501072,LVL1
2020-07-31,501152,LVL1
2020-07-31,501211,LVL2
2020-07-31,501343,LVL1
2020-07-31,501369,LVL1
2020-07-31,501376,LVL1
2020-07-31,501444,LVL3
2020-07-31,501449,LVL1
2020-07-31,501501,LVL1
2020-07-31,501533,LVL1
2020-07-31,501573,LVL1
2020-07-31,501638,LVL1
2020-07-31,501808,LVL1
2020-08-31,500017,LVL1
2020-08-31,500044,LVL3
2020-08-31,500054,LVL1
2020-08-31,500136,LVL1
2020-08-31,500241,LVL3
2020-08-31,500251,LVL3
2020-08-31,500376,LVL2
2020-08-31,500439,LVL1
2020-08-31,500480,LVL1
2020-08-31,500738,LVL3
2020-08-31,500746,LVL1
2020-08-31,500848,LVL1
2020-08-31,500850,LVL1
2020-08-31,500864,LVL1
2020-08-31,500877,LVL1
2020-08-31,500917,LVL1
2020-08-31,500994,LVL2
2020-08-31,501012,LVL2
2020-08-31,501066,LVL1
2020-08-31,501077,LVL1
2020-08-31,501263,LVL2
2020-08-31,501334,LVL1
2020-08-31,501427,LVL2
2020-08-31,501429,LVL1
2020-08-31,501561,LVL3
2020-08-31,501605,LVL1
2020-08-31,501631,LVL1
2020-08-31,501661,LVL1
2020-08-31,501701,LVL1
2020-08-31,501703,LVL1
2020-08-31,501798,LVL1
2020-08-31,501865,LVL3
2020-08-31,501992,LVL1
2020-08-31,501997,LVL3
2020-08-31,502004,LVL1
2020-08-31,502043,LVL3
2020-09-30,500093,LVL1
2020-09-30,500153,LVL1
2020-09-30,500162,LVL1
2020-09-30,500163,LVL1
2020-09-30,500374,LVL3
2020-09-30,500494,LVL1
2020-09-30,500498,LVL1
2020-09-30,500517,LVL1
2020-09-30,500530,LVL3
2020-09-30,500611,LVL1
2020-09-30,500714,LVL2
2020-09-30,500735,LVL3
2020-09-30,500771,LVL3
2020-09-30,500785,LVL2
2020-09-30,500789,LVL3
2020-09-30,500910,LVL1
2020-09-30,500918,LVL1
2020-09-30,500988,LVL1
2020-09-30,501046,LVL1
2020-09-30,501050,LVL1
2020-09-30,501074,LVL1
2020-09-30,501076,LVL1
2020-09-30,501136,LVL1
2020-09-30,501211,LVL3
2020-09-30,501343,LVL3
2020-09-30,501378,LVL3
2020-09-30,501407,LVL3
2020-09-30,501535,LVL3
2020-09-30,501558,LVL1
2020-09-30,501600,LVL3
2020-09-30,501612,LVL1
2020-09-30,501751,LVL1
2020-09-30,501763,LVL1
2020-09-30,501773,LVL1
2020-09-30,501808,LVL1
2020-09-30,501814,LVL1
2020-09-30,501825,LVL2
2020-09-30,501856,LVL1
2020-09-30,501997,LVL1
2020-09-30,502015,LVL1
2020-09-30,502232,LVL3
2020-09-30,502294,LVL2
2020-09-30,502361,LVL1
2020-09-30,502426,LVL3
2020-10-31,500134,LVL1
2020-10-31,500322,LVL3
2020-10-31,500328,LVL1
2020-10-31,500366,LVL1
2020-10-31,500424,LVL3
2020-10-31,500445,LVL1
2020-10-31,500639,LVL3
2020-10-31,500877,LVL2
2020-10-31,500959,LVL2
2020-10-31,501004,LVL1
2020-10-31,501010,LVL1
2020-10-31,501011,LVL1
2020-10-31,501069,LVL1
2020-10-31,501072,LVL1
2020-10-31,501075,LVL3
2020-10-31,501123,LVL3
2020-10-31,501133,LVL3
2020-10-31,501154,LVL1
2020-10-31,501171,LVL1
2020-10-31,501208,LVL3
2020-10-31,501262,LVL1
