HIST_DATE,DEAL_NO,RECOVERY_AMOUNT_GEL
2022-06-30,500536,490.15
2022-07-31,501905,103770.15
2022-08-31,501942,1340.38
2022-09-30,500972,13312.66
2022-10-31,502180,14973.3
2023-01-31,500663,548.73
2023-01-31,500695,253.0
2023-02-28,501786,3278.9
2023-02-28,501817,56057.06
2023-03-31,500211,134.0
2023-03-31,501465,881.31
2023-03-31,504172,95635.7
2023-04-30,502274,43065.67
2023-04-30,503020,2109.13
2023-04-30,504745,6954.94
2023-05-31,501141,398.13
2023-05-31,501583,2248.4
2023-06-30,504870,1377.59
2023-07-31,503212,409.88
2023-07-31,504300,838.86
2023-08-31,503489,7801.17
2023-08-31,504725,590.42
2023-08-31,504850,2282.74
2023-08-31,505595,2262.04
2023-08-31,505943,707.95
2023-09-30,504328,880.34
2023-10-31,502151,257.36
2023-10-31,504519,517.76
2023-10-31,504536,6496.6
2023-10-31,504908,69885.12
2023-11-30,504836,4541.56
2023-12-31,503710,19627.77
2024-01-31,501699,492.73
2024-01-31,503676,949.63
2024-01-31,504355,625.96
2024-01-31,505383,6963.61
2024-01-31,506514,2180.33
2024-02-29,506812,34806.01
2024-02-29,507988,2562.11
2024-02-29,508366,165.93
2024-03-31,500456,83889.71
2024-03-31,505262,61389.35
2024-03-31,506170,5.53
2024-03-31,507939,176.28
2024-04-30,503579,297.83
2024-04-30,504332,6985.87
2024-04-30,508566,2318.0
2024-04-30,509022,22657.17
2024-05-31,502604,69163.16
2024-05-31,504026,177.14
2024-05-31,507687,113.86
2024-05-31,508659,1554.08
2024-06-30,501710,345.23
2024-06-30,508902,1212.63
2024-07-31,501285,1662.57
2024-07-31,502236,148.6
2024-07-31,507512,106.34
2024-07-31,509731,2114.47
2024-07-31,509789,22226.54
2024-08-31,507955,2069.07
2024-09-30,502678,317.72
2024-09-30,503117,9683.13
2024-09-30,505264,2385.35
2024-09-30,506334,227.15
2024-09-30,510615,2275.72
2024-10-31,501995,197.2
2024-10-31,504670,1044.05
2024-10-31,508383,15124.79
2024-11-30,501535,14786.41
2024-11-30,501546,55490.23
2024-11-30,501875,121666.41
2024-11-30,504741,35739.0
2024-11-30,509702,239.08
2024-12-31,506688,7088.76
2024-12-31,506816,877.44
2024-12-31,510433,12515.82
2024-12-31,511686,420.79
2024-12-31,511753,1977.45
2025-01-31,509018,235.78
2025-01-31,510140,55338.63
2025-02-28,504499,34008.73
2025-02-28,506256,1168.78
2025-02-28,511797,4837.74
2025-03-31,501904,4008.38
2025-03-31,505249,3690.07
2025-03-31,512071,787.08
2025-03-31,512349,3075.47
2025-04-30,508279,207.29
2025-04-30,508971,547.9
2025-04-30,512653,982.34
2025-04-30,513134,1900.11
2025-05-31,510966,403.11
2025-06-30,500242,1705.49
2025-06-30,502728,9859.32
2025-06-30,513884,2209.6
2025-07-31,510450,1860.28
2025-08-31,502772,465.46
2025-08-31,512025,3107.93
2025-09-30,504187,104.12
2025-09-30,510358,1380.34
2025-09-30,514030,3070.02
2025-09-30,514060,1894.77
2025-09-30,514437,18779.8
2025-10-31,512156,324.48
2025-10-31,512643,296.51
2025-11-30,507218,97.15
2025-11-30,514846,2893.23
2025-12-31,503699,570.95
2025-12-31,506972,1100.54
2025-12-31,512728,863.56
2025-12-31,513787,34249.72
2025-12-31,514372,11599.21
2025-12-31,514754,10091.57
2025-12-31,515098,1361.62
2026-01-31,509715,701.47
2026-01-31,511028,359.0
2026-01-31,511515,397.11
2026-01-31,516505,6231.59
2026-02-28,502193,86608.81
2026-02-28,508905,2546.64
2026-02-28,510365,36.33
2026-02-28,513539,611.65
2026-02-28,517077,42085.82
2026-02-28,518005,1833.08
2026-03-31,500712,1789.23
2026-03-31,512955,9373.61
2026-03-31,514357,74936.32
2026-03-31,516016,36219.59
2026-04-30,511304,39552.06
2026-04-30,516676,6430.4
2026-04-30,517444,1326.71
2026-05-31,514222,1992.44
2026-05-31,518322,34196.42
2026-05-31,518914,19268.72
2026-06-30,505150,1705.23
2026-06-30,512031,18917.33
2026-06-30,516834,6618.25
2026-06-30,519406,30169.76
2026-07-31,518287,21316.96
2026-07-31,519547,23095.15
